bsb10502050_00480_93	1812	3	00480	PHILOSOPHIE	94	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502050/canvas/480/view	Man ſieht, daſs, da über den Grundbegriff oder das Object der Mnemonik ſelbſt kein Zweifel ſeyn kann, es hier bloſs auf die Bedeutung ankommt, welche man den Ausdrücken Gedächtniß, Erinnerungskraft und Einbildungskraft unterlegt.
bsb10502011_00151_70	1797	3	00151	SCHÖNE KÜNSTE	71	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502011/canvas/151/view	Wie dürftig werden z. B. in Ovids Faſtis die reizenden Mythen und Schilderungen von Feſten, durch den völlig unpoetiſchen, für Herz und Einbildungskraft gleich leeren Begriff eines Kalenders zuſammen gehalten.
bsb10628812_00059_37	1799	3	00059	GESCHICHTE	38	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628812/canvas/59/view	Der Einfluſs, welchen die Unternehmungen der Waſſergeuſen auf den gang der innern Unruhen hatten, die Kriegsvorfälle nach ihrem mannichfaltigen Wechſel, die Einſicht, welche endlich Philipp ſelbſt erhielt, daſs er im Herzog von Alba einen Statthalter geſandt habe, der ſo zerſtören werde, daſs keine neue Schöpfung unter den Trümmern wieder aufkommen könne, der gemäſsigte Charakter ſeines Nachfolgers Requeſens, der jetzt noch die Oelzweige pflanzen wollte, welche vor ſechs Jahren geplanzt, urzel geſchlagen und gegrünt hätten, und der anmuthige Heldengeivt des dritten Statthalters in einem kurzen Zeitraume, nämlich des Don Juan's, beſonders aber die ſchlauen, feſtberechneten Schritte Wilhelms von Oranien; alle dieſe Gegenſtände ſind vom Vf. mit vielſeitiger Aufmerkſamkeit und mit unparteyiſcher Ruhe zwar umfaſst worden; allein je raſcher der Wechſel iſt, mit welchem ſie erſcheinen, deſto mehr muſs der Geſchichtſchreiber ſich bemühen, uns auf einen Standpunct zu bringen, von welchem wir ſie ohne Verwirrung vor uns vorbeygehen, und ſo charakteriſtiſch bezeichnet ſehen, daſs ſie unſerm Verſtande und unſerer Einbildungskraft, trotz ihres raſchen Verſchwindens, gegenwärtig bleiben.
bsb10628808_00016_94	1793	3	00016	PHILOSOPHIE	95	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/16/view	Daher iſt alles Reden als ſolches ein Geſchäft der Vernunft, oder des Verſtandes in weiterer Bedeutung, welches aber als ſchöne Kunſt mit dem freyen Spiele der Einbildungskraft verbunden ſeyn muſs.
bsb10628808_00018_65	1793	3	00018	PHILOSOPHIE	66	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/18/view	Der zweyte hingegen muſs auſser der Anſchauung, in dem nur durch Vernunft denkbaren (überſinnlichen Subſtrat der Erſcheinung) Objecte angenommen werden, welches an ſich ſelbſt für die Zuſammenſtimmung der mit ſeiner Geſtalt beſchäftigten Einbildungskraft zum Verſtande, als zweckmäſsig eingerichtet, gedacht werden muſs.
bsb10502026_00024_18	1802	2	00024	PHILOSOPHIE	19	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502026/canvas/24/view	Nachdem der Vf. die hauptſächlichſten Gründe gegen den Einfluſs der Einbildungskraft der Mütter auf die Entſtehung der Muttermäler, welche Röderer in ſeiner Preisſchrift über dieſen Gegenſtand ausgeführt hat, nebſt deſſen Erklärung von den Entſtehungsarten derſelben, in bündiger Kürze wiederholt hat, erklärt er, daſs durch dieſelben zwar die Sache noch nicht entschieden, und es daher immer der Mühe werth ſey, Thatſachen für die eine ſowohl als für die andere Meynung anzuführen, aber doch die Erzählung eines einzelnen Falles in dem vorhergehenden Bande.
bsb10502041_00110_15	1806	1	00110	GESCHICHTE	16	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502041/canvas/110/view	Denn, auch ſie zerreiſst den natürlichen Zuſammenhang, beſonders gröſserer Begebenheiten, die ſelten an den kurzen Zeitraum eines einzigen Jahres geknüpft ſind; raubt ſonach dem Verſtande die Möglichkeit der Verknüpfung des Gegebenen, eben dadurch aber auch dem Gedächtniſſe ſeine wichtigſte Stütze, hemmt den Schwung der Einbildungskraft, die gern das Ganze umfaſſen und Anſchaulichkeit erhalten möchte, ja neckt und quält dieſe recht eigentlich, indem ſie von einem Schauplatz der Geſchichte zum andern hüpft, und macht das Geſchichtsſtudium für den Anfänger wo möglich, noch trockener, lebloſer und unintereſſanter, als es ihm je bey der ſynchroniſtiſchen Methode werden konnte, indem die Rubriken der letztern in der Regel doch innmer noch weit reichhaltiger ſind, als die dürftigen Fächer des annaliſtiſchen Univerſalhiſtorikers.
bsb10502062_00095_68	1816	1	00095	PHILOSOPHIE	69	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502062/canvas/95/view	Weil aber das Werden in der Sinnenanſchauung ein Nicht Daſeyn vorausſetzt; aus einem baaren Nichts aber auch nichts werden könnte: ſo verhüllt ſich das Unzuläſſige dieſer Annahme einigermaaſsen dadurch, daſs die Einbildungskraft jenes Nichtſeyn als ein unvollkommnes bloſs potentielles Daſeyn auffaſst, aus dem das Actu vollkommene Daſeyn ſucceſſiv entſteht.
bsb10502003_00139_75	1795	4	00139	SCHÖNE KÜNSTE	76	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502003/canvas/139/view	Eine blumenreiche, keine blühende Diction herrſcht in dieſem Gedicht; jene kann man durch Dichterlectüre erhalten, dieſe nur durch eine eigene dichteriſche Einbildungskraft.
bsb10628808_00012_106	1793	3	00012	PHILOSOPHIE	107	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/12/view	Da das Bewuſstſeyn dieſer Uebereinſtimmung in einem bloſsen Gefühle beſteht, und nicht von dem Begriffe des Objectes ausgeht, (durch welchen der Verſtand die Anſchauung ſeinen Geſetzen unterwirft, und dadurch Erkenntniſs bewirkt,) ſondern aus der bloſsen Anſchauung entſpringt, die zufälligerweiſe, und durch ſich ſelbſt, mit dem Verſtande harmonirt: ſo beſteht das Wohlgefallen am Schönen bey aller ſeiner Nothwendigkeit gleichwohl in einem freyen Spiele der Erkenntniſskräfte, d. h. in einer ſolchen Beſchäftigung der Einbildungskraft, wobey dieſelbe frey, aber (von ſelbſt) geſetzmäſsig, d. i. dem Verſtande angemeſſen, wirkt.
