Volume	Page	Line	KWIC	URL	Column
bsb10501991	00033	96	„knüpfung der Vorſtellungen in der Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/33/view	PHILOSOPHIE
bsb10501991	00034	22	„eine Operation der Einbildungskraft, wodurch eine	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/34/view	PHILOSOPHIE
bsb10501991	00035	48	Formen der Einbildungskraft und die Kategorien als	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/35/view	PHILOSOPHIE
bsb10501991	00035	49	tranſcendentale Erdichtungen der Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/35/view	PHILOSOPHIE
bsb10501991	00035	53	zwar (S. 14.) „die Einbildungskraft wäre ein Mittelver-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/35/view	PHILOSOPHIE
bsb10501991	00035	60	„len; da hingegen die Einbildungskraft das Vermögen	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/35/view	PHILOSOPHIE
bsb10501991	00036	38	Aſſociation, einem Geſetze der bloſsen Einbildungskraft,	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/36/view	PHILOSOPHIE
bsb10501991	00062	20	mit den Vorſpieglungen der Einbildungskraft und den	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/62/view	GOTTESGELAHRHEIT
bsb10501991	00139	121	Einbildungskraft ſcheint durch die falſche Benennung	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/139/view	ARZNEYGELAHRTHEIT
bsb10501991	00153	43	hafte Einbildungskraft immer ausſchweifender wird, und	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/153/view	LITERARISCHE ANZEIGEN
bsb10501991	00198	59	Einbildungskraft. Kaum aber erfährt dieſes Publicum,	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/198/view	LITERARISCHE ANZEIGEN
bsb10501991	00241	8	- bloſs ſinnliche, ſondern auch von der Art, wie die Einbildungskraft ſie bey dem Menſchen hervorbringt. Sie	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/241/view	NATURGESCHICHTE
bsb10501991	00253	11	de ſpielende Einbildungskraft. Er hat einen entfchiede-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/253/view	VERMISCHTE SCHRIFTEN
bsb10501991	00285	18	tigkeit der Einbildungskraft des Schriftſtellers zuweilen	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/285/view	GESCHICHTE
bsb10501991	00397	14	kalte Einbildungskraft, und nicht die geringſte Anlage	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/397/view	STAATSWISSENSCHAFTEN
